PupsID,Region,Age,Metabolite,bvalue,Attenuation
1,Thalamus,5,NAA+NAAG,0.035,1
1,Thalamus,5,NAA+NAAG,3.035,0.635333333333333
1,Thalamus,5,NAA+NAAG,6,0.572
1,Thalamus,5,NAA+NAAG,10,0.418666666666667
1,Thalamus,5,NAA+NAAG,20,0.274
1,Thalamus,5,NAA+NAAG,30,0.182
10,Cerebellum,5,NAA+NAAG,0.035,1
10,Cerebellum,5,NAA+NAAG,3.035,0.689800210304942
10,Cerebellum,5,NAA+NAAG,6,0.643533123028391
10,Cerebellum,5,NAA+NAAG,10,0.439537329127234
10,Cerebellum,5,NAA+NAAG,20,0.195583596214511
10,Cerebellum,5,NAA+NAAG,30,0.158780231335436
2,Thalamus,5,NAA+NAAG,0.035,1
2,Thalamus,5,NAA+NAAG,3.035,0.784172661870504
2,Thalamus,5,NAA+NAAG,6,0.61726618705036
2,Thalamus,5,NAA+NAAG,10,0.505035971223022
2,Thalamus,5,NAA+NAAG,20,0.255395683453237
2,Thalamus,5,NAA+NAAG,30,0.22589928057554
11,Cerebellum,5,NAA+NAAG,0.035,1
11,Cerebellum,5,NAA+NAAG,3.035,0.81587651598677
11,Cerebellum,5,NAA+NAAG,6,0.454244762954796
11,Cerebellum,5,NAA+NAAG,10,0.386990077177508
11,Cerebellum,5,NAA+NAAG,20,0.13561190738699
11,Cerebellum,5,NAA+NAAG,30,0.156560088202867
3,Thalamus,5,NAA+NAAG,0.035,0
3,Thalamus,5,NAA+NAAG,3.035,0
3,Thalamus,5,NAA+NAAG,6,0
3,Thalamus,5,NAA+NAAG,10,0
3,Thalamus,5,NAA+NAAG,20,0
3,Thalamus,5,NAA+NAAG,30,0
12,Cerebellum,5,NAA+NAAG,0.035,1
12,Cerebellum,5,NAA+NAAG,3.035,0.669369369369369
12,Cerebellum,5,NAA+NAAG,6,0.600900900900901
12,Cerebellum,5,NAA+NAAG,10,0.408108108108108
12,Cerebellum,5,NAA+NAAG,20,0.341441441441441
12,Cerebellum,5,NAA+NAAG,30,0.191891891891892
4,Thalamus,5,NAA+NAAG,0.035,1
4,Thalamus,5,NAA+NAAG,3.035,0.703636363636364
4,Thalamus,5,NAA+NAAG,6,0.613636363636364
4,Thalamus,5,NAA+NAAG,10,0.443636363636364
4,Thalamus,5,NAA+NAAG,20,0.362727272727273
4,Thalamus,5,NAA+NAAG,30,0.0963636363636364
13,Cerebellum,5,NAA+NAAG,0.035,1
13,Cerebellum,5,NAA+NAAG,3.035,0.653094462540717
13,Cerebellum,5,NAA+NAAG,6,0.550488599348534
13,Cerebellum,5,NAA+NAAG,10,0.137622149837134
13,Cerebellum,5,NAA+NAAG,20,0.146416938110749
13,Cerebellum,5,NAA+NAAG,30,0.0496742671009772
5,Thalamus,5,NAA+NAAG,0.035,1
5,Thalamus,5,NAA+NAAG,3.035,0.727722772277228
5,Thalamus,5,NAA+NAAG,6,0.688118811881188
5,Thalamus,5,NAA+NAAG,10,0.52970297029703
5,Thalamus,5,NAA+NAAG,20,0.373267326732673
5,Thalamus,5,NAA+NAAG,30,0.315841584158416
14,Cerebellum,5,NAA+NAAG,0.035,1
14,Cerebellum,5,NAA+NAAG,3.035,0.694565217391304
14,Cerebellum,5,NAA+NAAG,6,0.510869565217391
14,Cerebellum,5,NAA+NAAG,10,0.38804347826087
14,Cerebellum,5,NAA+NAAG,20,0.275
14,Cerebellum,5,NAA+NAAG,30,0.243478260869565
6,Thalamus,5,NAA+NAAG,0.035,1
6,Thalamus,5,NAA+NAAG,3.035,0.536936936936937
6,Thalamus,5,NAA+NAAG,6,0.581081081081081
6,Thalamus,5,NAA+NAAG,10,0.372972972972973
6,Thalamus,5,NAA+NAAG,20,0.295495495495495
6,Thalamus,5,NAA+NAAG,30,0.225225225225225
15,Cerebellum,5,NAA+NAAG,0.035,1
15,Cerebellum,5,NAA+NAAG,3.035,0.811111111111111
15,Cerebellum,5,NAA+NAAG,6,0.544444444444444
15,Cerebellum,5,NAA+NAAG,10,0.553968253968254
15,Cerebellum,5,NAA+NAAG,20,0.206349206349206
15,Cerebellum,5,NAA+NAAG,30,0.0817460317460317
7,Thalamus,5,NAA+NAAG,0.035,1
7,Thalamus,5,NAA+NAAG,3.035,0.824414715719064
7,Thalamus,5,NAA+NAAG,6,0.683946488294314
7,Thalamus,5,NAA+NAAG,10,0.473244147157191
7,Thalamus,5,NAA+NAAG,20,0.37123745819398
7,Thalamus,5,NAA+NAAG,30,0.0974916387959866
16,Cerebellum,5,NAA+NAAG,0.035,1
16,Cerebellum,5,NAA+NAAG,3.035,0
16,Cerebellum,5,NAA+NAAG,6,0.145706371191136
16,Cerebellum,5,NAA+NAAG,10,0.631578947368421
16,Cerebellum,5,NAA+NAAG,20,0.261495844875346
16,Cerebellum,5,NAA+NAAG,30,0.171468144044321
8,Thalamus,5,NAA+NAAG,0.035,1
8,Thalamus,5,NAA+NAAG,3.035,0.710160427807487
8,Thalamus,5,NAA+NAAG,6,0.529411764705882
8,Thalamus,5,NAA+NAAG,10,0.47379679144385
8,Thalamus,5,NAA+NAAG,20,0.308021390374332
8,Thalamus,5,NAA+NAAG,30,0.247058823529412
17,Cerebellum,5,NAA+NAAG,0.035,1
17,Cerebellum,5,NAA+NAAG,3.035,0.71841155234657
17,Cerebellum,5,NAA+NAAG,6,0.680505415162455
17,Cerebellum,5,NAA+NAAG,10,0.510830324909747
17,Cerebellum,5,NAA+NAAG,20,0.272563176895307
17,Cerebellum,5,NAA+NAAG,30,0.118050541516245
9,Thalamus,5,NAA+NAAG,0.035,1
9,Thalamus,5,NAA+NAAG,3.035,0.714285714285714
9,Thalamus,5,NAA+NAAG,6,0.674473067915691
9,Thalamus,5,NAA+NAAG,10,0.455503512880562
9,Thalamus,5,NAA+NAAG,20,0.402810304449649
9,Thalamus,5,NAA+NAAG,30,0.201405152224824
18,Cerebellum,5,NAA+NAAG,0.035,1
18,Cerebellum,5,NAA+NAAG,3.035,0.499219968798752
18,Cerebellum,5,NAA+NAAG,6,0.539781591263651
18,Cerebellum,5,NAA+NAAG,10,0.324492979719189
18,Cerebellum,5,NAA+NAAG,20,0.177847113884555
18,Cerebellum,5,NAA+NAAG,30,0.28393135725429
1,Thalamus,5,Cr+PCr,0.035,1
1,Thalamus,5,Cr+PCr,3.035,0.729241877256318
1,Thalamus,5,Cr+PCr,6,0.537906137184116
1,Thalamus,5,Cr+PCr,10,0.411552346570397
1,Thalamus,5,Cr+PCr,20,0.257039711191336
1,Thalamus,5,Cr+PCr,30,0.168231046931408
10,Cerebellum,5,Cr+PCr,0.035,1
10,Cerebellum,5,Cr+PCr,3.035,0.738317757009346
10,Cerebellum,5,Cr+PCr,6,0.607476635514019
10,Cerebellum,5,Cr+PCr,10,0.518691588785047
10,Cerebellum,5,Cr+PCr,20,0.249065420560748
10,Cerebellum,5,Cr+PCr,30,0.132242990654206
2,Thalamus,5,Cr+PCr,0.035,1
2,Thalamus,5,Cr+PCr,3.035,0.718146718146718
2,Thalamus,5,Cr+PCr,6,0.540540540540541
2,Thalamus,5,Cr+PCr,10,0.459459459459459
2,Thalamus,5,Cr+PCr,20,0.257915057915058
2,Thalamus,5,Cr+PCr,30,0.154440154440154
11,Cerebellum,5,Cr+PCr,0.035,1
11,Cerebellum,5,Cr+PCr,3.035,0.8625
11,Cerebellum,5,Cr+PCr,6,0.65
