PupId,Region,Age,Metabolite,MixTime,ADC,ADCcorr
1,Thalamus,5,NAA+NAAG,100,0.137630732650593,0.137630732650593
1,Thalamus,5,NAA+NAAG,500,0.0839207855399541,0.0839207855399541
1,Thalamus,5,NAA+NAAG,750,0.0485400633145089,0.0485400633145089
1,Thalamus,5,NAA+NAAG,1000,0.137830472994131,0.137830472994131
10,Cerebellum,5,NAA+NAAG,100,0.128488147133832,0.128488147133832
10,Cerebellum,5,NAA+NAAG,500,0.141782159553998,0.141782159553998
10,Cerebellum,5,NAA+NAAG,750,0.121106495552467,0
10,Cerebellum,5,NAA+NAAG,1000,0.0323382649508064,0.0323382649508064
2,Thalamus,5,NAA+NAAG,100,0.0710798653990883,0.0710798653990883
2,Thalamus,5,NAA+NAAG,500,0.10338497610128,0.10338497610128
2,Thalamus,5,NAA+NAAG,750,0.136292693568135,0.136292693568135
2,Thalamus,5,NAA+NAAG,1000,0.0526575092612227,0.0526575092612227
11,Cerebellum,5,NAA+NAAG,100,0.0641239642158187,0.0641239642158187
11,Cerebellum,5,NAA+NAAG,500,0.100946640501049,0.100946640501049
11,Cerebellum,5,NAA+NAAG,750,0.0688306392405892,0.0688306392405892
11,Cerebellum,5,NAA+NAAG,1000,0.0611662399889898,0.0611662399889898
3,Thalamus,5,NAA+NAAG,100,0,0
3,Thalamus,5,NAA+NAAG,500,0,0
3,Thalamus,5,NAA+NAAG,750,0,0
3,Thalamus,5,NAA+NAAG,1000,0,0
12,Cerebellum,5,NAA+NAAG,100,0.104449939733453,0.104449939733453
12,Cerebellum,5,NAA+NAAG,500,0.0572350852796324,0.0572350852796324
12,Cerebellum,5,NAA+NAAG,750,0.0767090650204874,0.0767090650204874
12,Cerebellum,5,NAA+NAAG,1000,0.0976464377499172,0.0976464377499172
4,Thalamus,5,NAA+NAAG,100,0.170275207921997,0.170275207921997
4,Thalamus,5,NAA+NAAG,500,-0.00398014679063928,0
4,Thalamus,5,NAA+NAAG,750,-0.115701830974194,0
4,Thalamus,5,NAA+NAAG,1000,-0.063041434705569,0
13,Cerebellum,5,NAA+NAAG,100,0.179496080503182,0
13,Cerebellum,5,NAA+NAAG,500,0.0413885455456269,0
13,Cerebellum,5,NAA+NAAG,750,0.0114773988071614,0
13,Cerebellum,5,NAA+NAAG,1000,-0.0528234469905916,0
5,Thalamus,5,NAA+NAAG,100,0.120764312080985,0.120764312080985
5,Thalamus,5,NAA+NAAG,500,0.221309544853602,0
5,Thalamus,5,NAA+NAAG,750,-0.0711913667660197,0
5,Thalamus,5,NAA+NAAG,1000,0.00909738076266917,0.00909738076266917
14,Cerebellum,5,NAA+NAAG,100,0.190276952918521,0.190276952918521
14,Cerebellum,5,NAA+NAAG,500,-0.0607738522646515,0
14,Cerebellum,5,NAA+NAAG,750,0.132293788138924,0.132293788138924
14,Cerebellum,5,NAA+NAAG,1000,0.199510401395032,0.199510401395032
6,Thalamus,5,NAA+NAAG,100,0.183281649110144,0.183281649110144
6,Thalamus,5,NAA+NAAG,500,0.17193772175901,0.17193772175901
6,Thalamus,5,NAA+NAAG,750,0.0838704908970764,0.0838704908970764
6,Thalamus,5,NAA+NAAG,1000,0.0961754368590205,0.0961754368590205
15,Cerebellum,5,NAA+NAAG,100,0.123120034488683,0.123120034488683
15,Cerebellum,5,NAA+NAAG,500,0.116185658612095,0.116185658612095
15,Cerebellum,5,NAA+NAAG,750,0.0776114239840374,0.0776114239840374
15,Cerebellum,5,NAA+NAAG,1000,0.0215902787192607,0.0215902787192607
7,Thalamus,5,NAA+NAAG,100,0.140200177391088,0.140200177391088
7,Thalamus,5,NAA+NAAG,500,0.134704889670098,0.134704889670098
7,Thalamus,5,NAA+NAAG,750,-0.0371579554877062,0
7,Thalamus,5,NAA+NAAG,1000,0.0794703411483327,0.0794703411483327
16,Cerebellum,5,NAA+NAAG,100,0.384254084525023,0
16,Cerebellum,5,NAA+NAAG,500,0.241181552581439,0
